inst#,actual,predicted,error,prediction,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
747,1:?,1:good,,0.99,6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6
748,1:?,1:good,,0.75,5.9,0.48,0.3,1.5,0.037,19,78,0.99057,3.47,0.42,11.9
749,1:?,1:good,,0.95,5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75
750,1:?,1:good,,0.94,5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13
751,1:?,1:good,,0.69,6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4
752,1:?,2:bad,,0.88,6.6,0.19,0.25,1.2,0.052,34,181,0.99352,3.3,0.42,9.4
753,1:?,2:bad,,1,6.4,0.28,0.45,8.6,0.057,47,223,0.99654,3.16,0.51,9.1
754,1:?,1:good,,0.72,5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12
755,1:?,2:bad,,0.86,7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2
756,1:?,2:bad,,0.72,6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9
757,1:?,2:bad,,0.94,5.8,0.3,0.09,6.3,0.042,36,138,0.99382,3.15,0.48,9.7
758,1:?,2:bad,,0.95,5.6,0.3,0.1,6.4,0.043,34,142,0.99382,3.14,0.48,9.8
759,1:?,2:bad,,0.91,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2
760,1:?,1:good,,0.68,6.9,0.25,0.29,2.4,0.038,28,76,0.99088,3.01,0.36,11.7
761,1:?,1:good,,0.99,4.4,0.32,0.39,4.3,0.03,31,127,0.98904,3.46,0.36,12.8
762,1:?,1:good,,0.95,3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8
763,1:?,2:bad,,0.91,6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2
764,1:?,2:bad,,0.97,6,0.32,0.3,7.3,0.174,46,159,0.99519,3.18,0.49,9.4
765,1:?,1:good,,0.53,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7
766,1:?,1:good,,0.53,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7
767,1:?,2:bad,,0.81,5.9,0.32,0.19,14.5,0.042,37,115,0.99684,3.16,0.43,10.3
768,1:?,1:good,,0.73,6,0.2,0.33,1.1,0.039,45,126,0.99051,3.31,0.45,11.6
769,1:?,1:good,,0.53,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7
770,1:?,1:good,,0.99,5.8,0.28,0.34,2.2,0.037,24,125,0.98986,3.36,0.33,12.8
771,1:?,1:good,,0.96,6.4,0.31,0.5,5.8,0.038,42,111,0.99189,3.18,0.53,11.9
772,1:?,2:bad,,0.51,6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1
773,1:?,2:bad,,0.78,7.3,0.35,0.67,8.3,0.053,10,100,0.9959,3.19,0.5,10.9
774,1:?,2:bad,,0.8,5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1
775,1:?,1:good,,0.79,5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4
776,1:?,2:bad,,0.94,5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7
777,1:?,1:good,,0.77,6.2,0.76,0.01,3.2,0.041,18,120,0.99026,3.2,0.94,13.7
778,1:?,2:bad,,0.94,5.8,0.36,0.5,1,0.127,63,178,0.99212,3.1,0.45,9.7
779,1:?,1:good,,0.72,6.5,0.28,0.34,4.6,0.054,22,130,0.99193,3.2,0.46,12
780,1:?,2:bad,,0.82,6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2
781,1:?,2:bad,,0.82,6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2
782,1:?,1:good,,0.93,6,0.32,0.33,9.9,0.032,22,90,0.99258,3.1,0.43,12.1
783,1:?,2:bad,,0.74,5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7
784,1:?,1:good,,0.96,5.9,0.37,0.3,1.5,0.033,35,95,0.98986,3.36,0.56,12
785,1:?,2:bad,,1,6.7,0.5,0.36,11.5,0.096,18,92,0.99642,3.11,0.49,9.6
786,1:?,2:bad,,0.72,5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6
787,1:?,1:good,,0.97,6.8,0.34,0.36,8.9,0.029,44,128,0.99318,3.28,0.35,11.95
788,1:?,1:good,,0.55,5.6,0.34,0.25,2.5,0.046,47,182,0.99093,3.21,0.4,11.3
789,1:?,2:bad,,0.98,6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5
790,1:?,1:good,,0.79,4.4,0.54,0.09,5.1,0.038,52,97,0.99022,3.41,0.4,12.2
791,1:?,2:bad,,0.95,6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6
792,1:?,2:bad,,0.95,6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6
793,1:?,1:good,,0.68,6.2,0.23,0.38,1.6,0.044,12,113,0.99176,3.3,0.73,11.4
794,1:?,1:good,,0.8,5.2,0.25,0.23,1.4,0.047,20,77,0.99001,3.32,0.62,11.4
795,1:?,2:bad,,0.96,6.4,0.35,0.51,7.8,0.055,53,177,0.99502,3.12,0.45,9.6
796,1:?,1:good,,0.97,6.2,0.36,0.32,4,0.036,44,92,0.98936,3.2,0.5,13.3
797,1:?,2:bad,,0.93,6,0.41,0.23,1.1,0.066,22,148,0.99266,3.3,0.47,9.633333
798,1:?,1:good,,0.86,6.1,0.32,0.28,6.6,0.021,29,132,0.99188,3.15,0.36,11.45
799,1:?,2:bad,,0.91,6,0.42,0.41,12.4,0.032,50,179,0.99622,3.14,0.6,9.7
800,1:?,1:good,,0.91,6.2,0.38,0.42,2.5,0.038,34,117,0.99132,3.36,0.59,11.6
801,1:?,2:bad,,0.94,5.9,0.54,0,0.8,0.032,12,82,0.99286,3.25,0.36,8.8
802,1:?,2:bad,,0.99,6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5
803,1:?,2:bad,,0.67,5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7
804,1:?,2:bad,,0.99,6.5,0.33,0.38,8.3,0.048,68,174,0.99492,3.14,0.5,9.6
805,1:?,1:good,,0.83,6.2,0.21,0.28,5.7,0.028,45,121,0.99168,3.21,1.08,12.15
806,1:?,2:bad,,0.55,6.2,0.41,0.22,1.9,0.023,5,56,0.98928,3.04,0.79,13
807,1:?,2:bad,,0.58,6.8,0.22,0.36,1.2,0.052,38,127,0.9933,3.04,0.54,9.2
808,1:?,2:bad,,0.52,6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7
809,1:?,2:bad,,0.99,6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6
810,1:?,1:good,,0.94,5.5,0.29,0.3,1.1,0.022,20,110,0.98869,3.34,0.38,12.8

